titulo,artista,genero,mood,energia,duracion
Ophelia,The Lumineers,Indie,Feliz,6,2.4
Ho Hey,The Lumineers,Indie,Feliz,6,2.4
Stubborn Love,The Lumineers,Indie,Melancolico,5,4.4
Cherry Wine,Hozier,Indie,Triste,3,4.0
Sedated,Hozier,Indie,Relajado,5,3.3
Cigarette Daydreams,Cage The Elephant,Indie,Melancolico,4,3.3
Trouble,Cage The Elephant,Indie,Relajado,5,3.5
Aint No Rest For The Wicked,Cage The Elephant,Indie,Energetico,7,3.0
Fluorescent Adolescent,Arctic Monkeys,Indie,Feliz,7,3.0
Do I Wanna Know,Arctic Monkeys,Indie,Melancolico,6,4.5
Arabella,Arctic Monkeys,Indie,Energetico,8,3.3
Sunsetz,Cigarettes After Sex,Indie,Relajado,3,3.3
K,Cigarettes After Sex,Indie,Melancolico,3,5.2
Cry,Cigarettes After Sex,Indie,Triste,3,4.2
Master Of Puppets,Metallica,Metal,Energetico,10,8.3
Enter Sandman,Metallica,Metal,Energetico,9,5.5
Chop Suey,System of a Down,Metal,Energetico,9,3.5
Aerials,System of a Down,Metal,Melancolico,7,4.0
Duality,Slipknot,Metal,Energetico,10,4.2
Numb,Linkin Park,Metal,Triste,7,3.1
In The End,Linkin Park,Metal,Melancolico,7,3.6
Bring Me To Life,Evanescence,Metal,Melancolico,8,3.9
Paranoid,Black Sabbath,Metal,Energetico,8,2.8
Fear Of The Dark,Iron Maiden,Metal,Energetico,9,7.3
Nothing Else Matters,Metallica,Metal,Melancolico,4,6.5
One,Metallica,Metal,Melancolico,8,7.4
The Unforgiven,Metallica,Metal,Melancolico,5,6.3
Battery,Metallica,Metal,Energetico,10,5.1
Psychosocial,Slipknot,Metal,Energetico,10,4.4
Before I Forget,Slipknot,Metal,Energetico,10,4.0
Snuff,Slipknot,Metal,Triste,3,4.6
Wait And Bleed,Slipknot,Metal,Energetico,9,2.5
Hypnotize,System of a Down,Metal,Energetico,8,3.1
Sugar,System of a Down,Metal,Energetico,9,2.5
Lonely Day,System of a Down,Metal,Triste,4,2.5
B.Y.O.B,System of a Down,Metal,Energetico,10,4.3
Tears Dont Fall,Bullet For My Valentine,Metal,Melancolico,8,5.8
Your Betrayal,Bullet For My Valentine,Metal,Energetico,9,4.8
Waking The Demon,Bullet For My Valentine,Metal,Energetico,9,4.1
Can You Feel My Heart,Bring Me The Horizon,Metal,Melancolico,8,3.8
Throne,Bring Me The Horizon,Metal,Energetico,9,3.1
Drown,Bring Me The Horizon,Metal,Triste,5,3.4
Sleepwalking,Bring Me The Horizon,Metal,Melancolico,8,3.5
Holy Diver,Dio,Metal,Energetico,8,5.5
Rainbow In The Dark,Dio,Metal,Energetico,8,4.2
The Trooper,Iron Maiden,Metal,Energetico,9,4.1
Run To The Hills,Iron Maiden,Metal,Energetico,9,3.9
Hallowed Be Thy Name,Iron Maiden,Metal,Melancolico,8,7.2
War Pigs,Black Sabbath,Metal,Melancolico,7,7.9
Iron Man,Black Sabbath,Metal,Energetico,8,5.9
Crazy Train,Ozzy Osbourne,Metal,Energetico,9,4.5
Mama Im Coming Home,Ozzy Osbourne,Metal,Melancolico,5,4.2
Breaking The Law,Judas Priest,Metal,Energetico,8,2.6
Painkiller,Judas Priest,Metal,Energetico,10,6.0
Ace Of Spades,Motorhead,Metal,Energetico,10,2.8
Killed By Death,Motorhead,Metal,Energetico,9,4.7
Roots Bloody Roots,Sepultura,Metal,Energetico,10,3.5
Walk,Pantera,Metal,Energetico,9,5.3
Cowboys From Hell,Pantera,Metal,Energetico,10,4.1
Cemetery Gates,Pantera,Metal,Melancolico,7,7.0
Down With The Sickness,Disturbed,Metal,Energetico,10,4.6
Stricken,Disturbed,Metal,Energetico,9,4.1
The Sound Of Silence,Disturbed,Metal,Triste,3,4.1
My Curse,Killswitch Engage,Metal,Melancolico,8,4.0
